"sep=,"
ImageUrl,ListingId,StockNumber,RegistrationNumber,VehicleCategory,VehicleSubCategory,Make,Model,Variant,RegistrationYear,PriceFormatted,MileageValue,Status,LastModified,CreateDate,ListDate,Age,PriceRating
https://img.autotrader.co.za/34202608/Crop160x120,27750881,UF8806,,Cars,,Nissan,X-Trail,2.5 4x4 Acenta,2021,R 299 900,79500,Active,2025/01/13 12:41:55,2024/10/29 15:56:34,2024/10/29 15:56:34,90,Fair Price
https://img.autotrader.co.za/34435295/Crop160x120,27766894,UF8817,,Cars,,Volkswagen,Polo,Hatch 1.0TSI 70kW,2024,R 309 900,8500,Active,2025/01/03 11:43:31,2024/11/08 12:53:13,2024/11/08 12:53:13,80,Great Price
https://img.autotrader.co.za/34958402/Crop160x120,27804174,UF8836,,Cars,,Mercedes-Benz,A-Class,A200d Urban,2020,R 429 900,97000,Active,2025/01/13 12:40:38,2024/12/04 14:20:14,2024/12/04 14:20:14,54,Fair Price
https://img.autotrader.co.za/35105565/Crop160x120,27814771,UF8849,,Cars,,Toyota,Hilux,2.8GD-6 Double Cab 4x4 Raider,2017,R 469 900,133300,Active,2024/12/11 13:28:14,2024/12/11 13:28:14,2024/12/11 13:28:14,47,Fair Price
https://img.autotrader.co.za/35258502/Crop160x120,27825522,,,Cars,,Ford,Ranger,2.0 Biturbo Double Cab XLT 4x4,2024,R 729 900,16000,Active,2024/12/19 16:50:54,2024/12/19 16:50:54,2024/12/19 16:50:54,39,No Rating
https://img.autotrader.co.za/35284420/Crop160x120,27827055,UF8848,,Cars,,Volkswagen,T-Cross,1.0TSI 70kW Comfortline,2021,R 269 900,151500,Active,2025/01/14 13:56:37,2024/12/20 15:25:09,2024/12/20 15:25:09,38,Fair Price
https://img.autotrader.co.za/35563380/Crop160x120,27833534,UF8872,,Cars,,Ford,Ranger,3.0 V6 Double Cab Wildtrak 4WD,2023,R 819 900,62500,Active,2025/01/14 14:05:03,2025/01/02 14:45:06,2025/01/02 14:45:06,25,Fair Price
https://img.autotrader.co.za/34406505/Crop160x120,27833684,UF8815,,Cars,,Volkswagen,Caravelle,2.0BiTDI Highline 4Motion,2021,R 949 900,99000,Active,2025/01/13 10:03:11,2025/01/02 16:42:43,2025/01/02 16:42:43,25,No Rating
https://img.autotrader.co.za/35526991/Crop160x120,27844776,UF8859,,Cars,,Ford,Ranger,2.2TDCi Double Cab Hi-Rider XL Auto,2021,R 389 900,103500,Active,2025/01/13 09:15:14,2025/01/13 09:15:14,2025/01/13 09:15:14,14,Fair Price
https://img.autotrader.co.za/35582256/Crop160x120,27850428,UF8877,,Cars,,Mahindra,KUV100 Nxt,1.2 G80 K2+ #DARE,2020,R 139 900,71000,Active,2025/01/15 09:03:20,2025/01/15 09:03:20,2025/01/15 09:03:20,12,Fair Price
https://img.autotrader.co.za/35609060/Crop160x120,27852288,UF8878,,Cars,,Ford,Ranger,2.0 Sit Double Cab XL Auto,2024,R 559 900,3500,Active,2025/01/16 08:24:17,2025/01/16 08:24:17,2025/01/16 08:24:17,11,Fair Price
https://img.autotrader.co.za/35636324/Crop160x120,27854119,,,Cars,,Toyota,FJ Cruiser,FJ Cruiser,2012,R 329 900,292500,Active,2025/01/21 10:19:41,2025/01/17 08:52:31,2025/01/17 08:52:31,10,Fair Price
https://img.autotrader.co.za/35758387/Crop160x120,27862795,UF8860,,Cars,,Ford,Ranger,2.2TDCi Double Cab Hi-Rider XL,2017,R 289 900,133000,Active,2025/01/23 12:01:13,2025/01/23 12:01:13,2025/01/23 12:01:13,4,Fair Price
https://img.autotrader.co.za/35781286/Crop160x120,27864409,UF8880,,Cars,,Toyota,RAV4,2.0 GX Auto,2020,R 379 900,94000,Active,2025/01/24 09:40:09,2025/01/24 09:40:09,2025/01/24 09:40:09,3,Fair Price
https://img.autotrader.co.za/35787226/Crop160x120,27864810,NF12882,,Cars,,Ford,Ranger,2.0 Sit Double Cab XLT,2024,R 669 900,13700,Active,2025/01/27 10:38:05,2025/01/24 12:14:39,2025/01/24 12:14:39,3,Fair Price
https://img.autotrader.co.za/35825561/Crop160x120,27867548,UF8826,,Cars,,Ford,Ranger,3.2TDCi SuperCab 4x4 XLT Auto,2018,R 359 900,170000,Active,2025/01/27 13:33:45,2025/01/27 13:33:45,2025/01/27 13:33:45,0,High Price
